%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 20739.53547949022, 33101.59243364244, -51520.122768893576, -51974.55608541442, -37019.62971921322, -21148.32653383333, -187500.02235174447, -27848.70896920073, -9880.81215391304, 18177.310309089462, -48375.25467577633, -44612.15968276974, -17902.942645900566, -47694.398187923216, -49860.68455704267, -41698.430979064826, 0.014, 0.998, 0.184, 192.0, 0.0, 56.0, 15.5, 24.0, 2.5, 96.0, 0.0, 0.0, 0.0, 1.695419991606959E9, 0.0, 2023-09-22 16:59:51.606
240.0, 20707.170153518935, 33068.28833440403, -51518.44638805943, -51957.05466950592, -37039.05338514488, -21134.62491448223, -187500.02235174447, -27845.26680055461, -9892.569171496532, 18154.377419278317, -48385.178850314485, -44622.97792708611, -17921.561649031835, -47702.82479558287, -49875.079080471885, -41707.7963599916, 0.014, 0.998, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419991606969E9, 0.0, 2023-09-22 16:59:51.606
242.0, 20744.4975667593, 33106.8674453339, -51507.82930944316, -51963.22375097558, -37015.047611599875, -21140.905754674168, -187500.02235174447, -27839.1200708294, -9872.899636375862, 18183.479390559125, -48365.95635008292, -44599.91092680823, -17894.35957602973, -47684.69753082962, -49850.9168447157, -41686.91983067034, 0.014, 0.998, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419991606973E9, 0.0, 2023-09-22 16:59:51.606
244.0, 20715.552057689674, 33075.97733449666, -51504.43184428595, -51947.15284671222, -37025.888207660704, -21122.376158520718, -187500.02235174447, -27832.235733537167, -9886.556552238055, 18163.005192638062, -48376.14874555454, -44611.9808688141, -17907.949436658553, -47695.62753386826, -49864.14907743324, -41697.782778475615, 0.014, 0.998, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419991606976E9, 0.0, 2023-09-22 16:59:51.606
246.0, 20745.749264448794, 33101.97241329818, -51495.98288488184, -51958.14990498423, -36996.07098055732, -21129.595771979784, -187500.02235174447, -27825.038471822558, -9864.540083949576, 18188.50853306157, -48355.27221623328, -44589.45031040315, -17882.40139274614, -47673.991045235525, -49837.394039320236, -41673.799356675074, 0.014, 0.998, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541999160698E9, 0.0, 2023-09-22 16:59:51.606
248.0, 20722.72696765983, 33079.17363395377, -51503.04603612972, -51949.38802115775, -37021.17198958063, -21124.723091688527, -187500.02235174447, -27830.89462886985, -9881.773278924618, 18170.336564819405, -48371.20901002992, -44607.912851323235, -17900.34984354375, -47691.1571849772, -49856.43772559616, -41688.8867841824, 0.015, 0.996, 0.184, 192.0, 0.0, 64.0, 15.5, 8.0, 2.5, 96.0, 0.0, 0.0, 0.0, 1.695419991606983E9, 0.0, 2023-09-22 16:59:51.606
250.0, 20743.715255703362, 33103.067648776494, -51493.054806358195, -51956.45117240563, -36996.29449800187, -21133.909658659657, -187500.02235174447, -27830.626407936386, -9868.585749695987, 18182.7417829921, -48356.926245322975, -44594.94883953915, -17893.040823106865, -47680.204830194096, -49843.18314113416, -41677.26387706565, 0.015, 0.996, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419991606986E9, 0.0, 2023-09-22 16:59:51.606
252.0, 20726.3926537505, 33087.44377940223, -51500.76615819528, -51946.8622740343, -37025.41882102714, -21126.533582989407, -187500.02235174447, -27836.057881839024, -9881.885037646894, 18176.93032943372, -48368.951483839934, -44603.33074370989, -17899.992215632465, -47688.43027215365, -49853.73316451707, -41687.43392079281, 0.015, 0.996, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541999160699E9, 0.0, 2023-09-22 16:59:51.606
254.0, 20741.927116146937, 33100.49719816413, -51490.126727834555, -51948.40454440172, -37001.54715794887, -21127.025321367422, -187500.02235174447, -27826.200762534234, -9877.057060844549, 18181.6912510027, -48361.93303608096, -44594.30063894995, -17892.9737678735, -47680.428347638655, -49848.033469680966, -41680.951914900776, 0.015, 0.996, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419991606993E9, 0.0, 2023-09-22 16:59:51.606
0.0, 10359.541816656807, 16524.488213597324, -25707.411850382312, -25924.961379165816, -18486.74785932873, -10546.13417936971, -93750.01117587223, -13796.748375505016, -4936.293355976743, 9099.752795666791, -24179.78187558435, -22295.663928468697, -8944.922261824879, -23839.655380207943, -24922.21741941183, -20839.89481209455, 0.01, 1.002, 0.178, 192.0, 0.0, 40.0, 15.5, 40.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.695419991780613E9, 0.0, 2023-09-22 16:59:51.780
