%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
178.0, -150789.87488625944, 56896.94665633997, -7974.968311186828, 8667.134781734321, 90658.42964153644, 49010.13362528487, -187500.02235174447, 68157.57669896803, 72131.56040091043, 72865.27876440034, 6160.341937582724, 13198.079252014071, 85439.69964262244, 38021.94899582255, 12649.858015758755, 17984.258292228973, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422260637093E9, 0.0, 2023-09-22 17:37:40.637
180.0, -150886.30031183962, 56829.77966425177, -8017.101349485082, 8673.952063793191, 90674.20997312189, 48988.29597095204, -187500.02235174447, 68128.92176257631, 71888.17225553658, 72867.87156675715, 6161.772449227864, 13225.080159316083, 85456.12817479708, 38057.331807295304, 12685.88902782071, 17984.638271884713, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422260637101E9, 0.0, 2023-09-22 17:37:40.637
182.0, -150762.15872313484, 56886.39663295706, -7992.939113728895, 8656.204778695677, 90658.9437316589, 48998.331904212464, -187500.02235174447, 68152.81577739904, 72115.08716524686, 72841.47415655544, 6138.638393716621, 13178.208551193304, 85427.94262503894, 38011.04134452836, 12648.673373302625, 17978.379783437227, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422260637105E9, 0.0, 2023-09-22 17:37:40.637
184.0, -150905.23223939328, 56789.99355912132, -8003.042102222694, 8656.42829614023, 90649.75716468778, 48996.811985589506, -187500.02235174447, 68111.88973330137, 71902.61148245473, 72831.14765061709, 6144.986289141928, 13209.23277249727, 85445.82402060319, 38047.94407462407, 12694.315635480361, 17982.73837360601, 0.092, 1.012, 0.024, 192.0, 1.0, 112.0, 15.5, 80.0, 0.0, 96.0, 0.0, 0.0, 0.0, 1.695422260637109E9, 0.0, 2023-09-22 17:37:40.637
186.0, -150737.70591470075, 56870.10221124914, -8005.612552835054, 8658.730525819126, 90672.01950216526, 48976.62836034637, -187500.02235174447, 68176.2404055882, 72086.47693234407, 72815.05439460927, 6130.435303501524, 13158.248443394714, 85427.47323840538, 37996.311544932316, 12647.242861657485, 17972.50127464548, 0.092, 1.012, 0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422260637113E9, 0.0, 2023-09-22 17:37:40.637
188.0, -150911.80365226313, 56747.90522431198, -8006.372512146535, 8634.344772618386, 90612.29564098068, 48976.516601624084, -187500.02235174447, 68102.41259365232, 71916.91659890611, 72794.71430715494, 6135.978536126439, 13188.713871087299, 85449.15443052704, 38034.30951050633, 12691.789888356912, 17955.201024437076, 0.092, 1.012, 0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422260637117E9, 0.0, 2023-09-22 17:37:40.637
190.0, -150733.68260069878, 56845.69410630395, -8012.742759316297, 8653.679031572226, 90665.17986836194, 48962.971444484174, -187500.02235174447, 68163.05287635956, 72047.87546966976, 72777.68227788, 6120.265259774359, 13133.996800660707, 85420.03010750176, 37972.596344065234, 12633.429483584105, 17970.377858922227, 0.092, 1.012, 0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542226063712E9, 0.0, 2023-09-22 17:37:40.637
192.0, -150947.45468466936, 56714.735235540305, -7982.456145579356, 8624.644115524783, 90565.33462588009, 48990.12881399737, -187500.02235174447, 68059.49724429814, 71926.28197983289, 72786.75708612884, 6134.413914014568, 13185.94225477484, 85445.95813106991, 38035.04711807336, 12682.93859755261, 17978.782114837424, 0.092, 1.012, 0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422260637125E9, 0.0, 2023-09-22 17:37:40.637
194.0, -150785.33748213502, 56822.023608925774, -8003.2879714117025, 8673.415621926264, 90665.67160673995, 48978.572962113976, -187500.02235174447, 68143.20452728326, 71969.21968093154, 72795.69778391097, 6150.618928744666, 13163.188178919338, 85448.19330551545, 38005.22989096998, 12659.871597274732, 18000.262141258972, 0.098, 1.008, 0.024, 192.0, 1.5, 8.0, 15.5, 64.0, 0.0, 96.0, 0.0, 0.0, 0.0, 1.695422260637139E9, 0.0, 2023-09-22 17:37:40.637
0.0, -73932.41809993006, 28439.48792689895, -3826.5068920262925, 4479.64721675482, 44099.63418240955, 24196.903311837115, -93750.01117587223, 33981.826482036886, 36021.04318392792, 36384.54960400458, 3062.1666386326124, 6578.923055997259, 42712.90960465784, 19001.687348090094, 6328.002372741982, 8989.82691643559, 0.098, 1.0110000000000001, 0.022, 192.0, 1.5, 8.0, 15.5, 88.0, 0.0, 80.0, 0.0, 0.0, 0.0, 1.695422260800016E9, 0.0, 2023-09-22 17:37:40.800
