%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
208.0, -187500.02235174447, 3833.5923950186248, -16761.953146690506, -37223.36586992334, -15576.170751592012, -39403.35385839389, -187500.02235174447, -47195.462548191856, 10959.26147213715, -11439.667515715066, -54100.16227962521, -52429.79406473566, -43049.92920755497, -39265.376539871286, -32299.522435608204, -43150.1320779481, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675172309253E9, 0.0, 2023-09-25 15:52:52.309
210.0, -187500.02235174447, 3826.909223426488, -16763.584824035745, -37225.37752692432, -15580.015251638324, -39414.90971027729, -187500.02235174447, -47204.58205992962, 10906.01961684461, -11451.446885043011, -54107.113672150816, -52438.84652124006, -43063.94375132844, -39278.04997897744, -32310.16186596893, -43158.178705952014, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675172309265E9, 0.0, 2023-09-25 15:52:52.309
212.0, -187500.02235174447, 3834.419409563471, -16761.64022226813, -37217.39795415377, -15576.595434736662, -39406.41604738427, -187500.02235174447, -47199.03882730471, 10984.630702093924, -11444.02610588385, -54103.93972443816, -52426.5754135341, -43061.26154199381, -39271.500917852034, -32304.261005432727, -43138.330356875704, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675172309275E9, 0.0, 2023-09-25 15:52:52.309
214.0, -187500.02235174447, 3834.732333985846, -16771.09501017273, -37227.36683218084, -15587.32427207521, -39413.85917828789, -187500.02235174447, -47212.00283908878, 10937.245003848673, -11454.956108922495, -54114.377989098786, -52441.88635848599, -43072.973856088385, -39280.12869121179, -32316.286243949682, -43144.32062438973, 0.042, 1.008, 0.122, 192.0, 0.5, 40.0, 15.5, 64.0, 1.5, 104.0, 0.0, 0.0, 0.0, 1.695675172309281E9, 0.0, 2023-09-25 15:52:52.309
216.0, -187500.02235174447, 3849.730354515357, -16762.355478090703, -37217.95674776516, -15574.650832969051, -39411.04285848652, -187500.02235174447, -47202.391588973, 10996.27596095514, -11441.79093143832, -54108.790052984965, -52432.83390198158, -43061.574466416176, -39276.01597023201, -32312.039412503174, -43139.1350196761, 0.042, 1.008, 0.122, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675172309286E9, 0.0, 2023-09-25 15:52:52.309
218.0, -187500.02235174447, 3836.431066564449, -16766.423495581566, -37222.829428056415, -15577.355394048143, -39408.49475961862, -187500.02235174447, -47207.554841942176, 10935.590974758981, -11435.957126135485, -54109.50530880753, -52431.157521147434, -43068.27998975277, -39263.52134508149, -32310.027755502197, -43159.00572049686, 0.042, 1.008, 0.122, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675172309292E9, 0.0, 2023-09-25 15:52:52.309
220.0, -187500.02235174447, 3856.8605609965994, -16774.447771841023, -37232.15010549428, -15582.831571439692, -39407.31011716248, -187500.02235174447, -47217.1437403135, 10969.900902497877, -11429.273954543347, -54104.90084944974, -52424.42964606639, -43055.38303320206, -39262.44846134764, -32308.82076130161, -43160.97267400893, 0.042, 1.008, 0.122, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675172309296E9, 0.0, 2023-09-25 15:52:52.309
222.0, -187500.02235174447, 3813.0511418641977, -16767.585786293243, -37228.10443974786, -15575.634309725085, -39422.41989641427, -187500.02235174447, -47217.76958915825, 10954.567605801536, -11455.716068233976, -54122.87165199181, -52456.39264063748, -43077.600667190636, -39284.666095336215, -32327.21624698833, -43147.15929593555, 0.042, 1.008, 0.122, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675172309301E9, 0.0, 2023-09-25 15:52:52.309
224.0, -187500.02235174447, 3817.0968076106083, -16754.97940242045, -37214.000488996564, -15566.693611942961, -39408.8523875299, -187500.02235174447, -47199.68702789391, 10971.644338565391, -11451.446885043011, -54109.12532915179, -52432.923308959405, -43056.59002740264, -39273.71374055311, -32312.06176424763, -43155.16122045055, 0.044, 1.006, 0.12, 192.0, 0.5, 48.0, 15.5, 56.0, 1.5, 96.0, 0.0, 0.0, 0.0, 1.695675172309306E9, 0.0, 2023-09-25 15:52:52.309
0.0, -93750.01117587223, 1821.6448213630704, -8403.89828728417, -18662.164349813982, -7788.755928129665, -19735.89744995802, -93750.01117587223, -23601.43048780328, 5482.167659064253, -5722.985353825731, -27051.466947968835, -26213.81297276175, -21528.999093651666, -19632.766501041235, -16150.8117497935, -21578.955242509277, 0.044, 1.03, 0.094, 192.0, 0.5, 48.0, 16.0, 24.0, 1.0, 120.0, 0.0, 0.0, 0.0, 1.695675172432393E9, 0.0, 2023-09-25 15:52:52.432
