%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
12.0, 25103.73593613338, 19593.874465689, -53236.69203957225, -27379.612908317198, -34333.59823627451, -32953.51212662603, -187500.02235174447, -48325.92437576346, -23562.42669372877, -26888.947414034297, -56913.039912347784, -64492.31529144231, -29295.827960470673, -52727.40754215808, -48767.32662526687, -32744.031577590893, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695337927824031E9, 0.0, 2023-09-21 18:12:07.824
14.0, 25137.576477238712, 19591.125201120998, -53244.76101932061, -27382.451579863024, -34352.55251557261, -32949.91349576873, -187500.02235174447, -48324.71738156288, -23587.885330663365, -26897.776353094145, -56940.532558027815, -64515.426995209105, -29251.996189593818, -52639.721648659906, -48724.97006952406, -32689.47096937549, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695337927824041E9, 0.0, 2023-09-21 18:12:07.824
16.0, 25085.698078357946, 19586.274872574195, -53236.736743061156, -27382.5633385853, -34336.816887476074, -32944.99611198856, -187500.02235174447, -48318.79416928222, -23577.67058344729, -26904.437172941827, -56924.036970619796, -64499.24433222346, -29305.908597220016, -52711.87307976164, -48771.841677646844, -32741.461126978535, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695337927824045E9, 0.0, 2023-09-21 18:12:07.824
18.0, 25133.0837766032, 19596.176695367896, -53241.29649893004, -27377.020105960382, -34337.17451538736, -32939.31876889691, -187500.02235174447, -48318.59300358212, -23589.740525453155, -26899.676251372846, -56945.44994180798, -64517.013969065425, -29245.64829416851, -52645.24252954037, -48717.92927002064, -32700.84800730324, -0.068, 1.002, 0.062, 192.0, 126.5, 112.0, 15.5, 40.0, 0.5, 120.0, 0.0, 0.0, 0.0, 1.69533792782405E9, 0.0, 2023-09-21 18:12:07.824
20.0, 25068.464883382905, 19590.812276698623, -53230.500606358124, -27367.967649455983, -34326.66919549336, -32931.98739671557, -187500.02235174447, -48307.84181449912, -23570.38391475486, -26889.7967803236, -56908.81543264574, -64481.720564570496, -29295.291518603746, -52720.12087346565, -48764.89028512124, -32758.80608067585, -0.068, 1.002, 0.062, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695337927824054E9, 0.0, 2023-09-21 18:12:07.824
22.0, 25137.934105149998, 19585.917244662913, -53260.83192358398, -27392.733382312465, -34350.71967252727, -32957.08840573888, -187500.02235174447, -48339.581291625655, -23601.609301758923, -26900.7491351067, -56946.41106681956, -64514.75644287544, -29244.64246566802, -52654.47380000041, -48717.01284849797, -32707.262957961913, -0.068, 1.002, 0.062, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695337927824057E9, 0.0, 2023-09-21 18:12:07.824
24.0, 25055.34440938764, 19596.86959944601, -53242.95052801973, -27368.54879481182, -34349.17740215986, -32932.054451948934, -187500.02235174447, -48315.66492505848, -23597.76480171261, -26908.728707877246, -56930.3401625562, -64501.43480318008, -29313.75405952383, -52687.55438179426, -48774.568590470386, -32737.5272199544, -0.068, 1.002, 0.062, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695337927824061E9, 0.0, 2023-09-21 18:12:07.824
26.0, 25129.887477146087, 19604.245675116264, -53255.4228014258, -27381.535158340357, -34348.52920157066, -32942.492716609566, -187500.02235174447, -48330.84175954363, -23622.262313635627, -26899.13980950592, -56955.57528204624, -64521.05963481184, -29265.295477544725, -52644.30375627324, -48730.06626725987, -32704.51369339391, -0.068, 1.002, 0.062, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695337927824068E9, 0.0, 2023-09-21 18:12:07.824
28.0, 25046.247249394328, 19612.716986264826, -53240.022449496086, -27363.69846626502, -34345.57877130256, -32928.25465539154, -187500.02235174447, -48314.68144830244, -23594.14381911085, -26888.209806467272, -56914.179851315006, -64482.65933783762, -29299.60540528362, -52674.07627988771, -48763.526828709466, -32736.119060053716, -0.07, 1.0, 0.058, 192.0, 126.5, 104.0, 15.5, 32.0, 0.5, 104.0, 0.0, 0.0, 0.0, 1.695337927824071E9, 0.0, 2023-09-21 18:12:07.824
0.0, 12510.897220480112, 9849.787932609073, -26597.234797148085, -13633.357123536722, -17194.12412573387, -16451.353305739558, -93750.01117587223, -24143.236773399924, -11803.799784636472, -13440.975659009893, -28468.746360390945, -32250.70622571781, -14638.895051347621, -26346.671741804093, -24366.687162719627, -16367.333098332061, -0.068, 1.002, 0.062, 192.0, 126.5, 112.0, 15.5, 40.0, 0.5, 120.0, 0.0, 0.0, 0.0, 1.695337928005771E9, 0.0, 2023-09-21 18:12:08.005
