%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
194.0, 74041.33815066077, 68766.23705223048, -19240.247516661588, -14319.041588192176, 32779.72731348602, 31727.027204874423, -187500.02235174447, 26324.275293859875, 45706.65755351276, 34050.35693053686, 4615.411712576355, -1127.623156025786, 51410.68862804039, 35934.676043352614, 22130.52924043289, -7362.776382300423, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488744365E9, 0.0, 2023-09-26 13:54:48.744
196.0, 74053.36338917773, 68767.77932259791, -19233.363179369353, -14315.532364312694, 32782.56598503184, 31728.055385119365, -187500.02235174447, 26315.267540844387, 45715.262975128055, 34053.37441603833, 4623.167767902347, -1121.8340542118615, 51411.9850292188, 35947.818869092334, 22139.00055158145, -7356.339079897294, 0.136, 1.014, 0.064, 192.0, 2.0, 32.0, 15.5, 88.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.695754488744385E9, 0.0, 2023-09-26 13:54:48.744
198.0, 74050.480014143, 68759.35271493826, -19247.75770279857, -14319.287457381184, 32769.758435458956, 31718.37707977022, -187500.02235174447, 26312.652386743117, 45702.27661159952, 34059.81171844146, 4614.450587564777, -1128.718391504096, 51404.31838087063, 35931.43504040659, 22118.258132726925, -7372.946426027588, 0.136, 1.014, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488744397E9, 0.0, 2023-09-26 13:54:48.744
200.0, 74050.10003448726, 68757.45281665956, -19248.204737687676, -14320.226230648308, 32773.29001108289, 31718.31002453685, -187500.02235174447, 26298.570787736273, 45712.67017277124, 34050.9380758927, 4619.412674833855, -1122.8398827123503, 51403.37960760351, 35928.7304793275, 22118.548705404843, -7369.437202148105, 0.136, 1.014, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488744407E9, 0.0, 2023-09-26 13:54:48.744
202.0, 74077.05623830036, 68778.86578784774, -19225.27184787653, -14299.908494938434, 32791.909014214165, 31736.727861968026, -187500.02235174447, 26312.786497209847, 45717.989887951604, 34057.35302655137, 4623.1901196468025, -1120.560004777909, 51414.86840425353, 35931.747964828966, 22122.974350806995, -7364.6539288346685, 0.136, 1.014, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488744417E9, 0.0, 2023-09-26 13:54:48.744
204.0, 74078.35263947876, 68782.0397355604, -19227.99876070008, -14301.964855428321, 32795.28412762691, 31726.446059518585, -187500.02235174447, 26306.215084339987, 45722.817864753946, 34066.561945266956, 4635.2824133971235, -1104.6455627257303, 51417.93059324391, 35939.16874398813, 22131.311551488823, -7354.081553707309, 0.136, 1.014, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488744426E9, 0.0, 2023-09-26 13:54:48.744
206.0, 74067.1320637622, 68774.44014244559, -19231.776205513026, -14310.659684021437, 32786.72340950053, 31716.857161147258, -187500.02235174447, 26324.87879096017, 45714.078332671925, 34083.92925070873, 4627.235785393213, -1110.2782023284676, 51414.354314131066, 35938.364081187734, 22118.459298427024, -7365.8832747797105, 0.132, 1.016, 0.066, 192.0, 2.0, 16.0, 15.5, 96.0, 1.0, 8.0, 0.0, 0.0, 0.0, 1.695754488744435E9, 0.0, 2023-09-26 13:54:48.744
208.0, 74074.79871211037, 68781.07861054881, -19228.0881676779, -14304.40119557395, 32787.01398217845, 31718.958225126058, -187500.02235174447, 26314.932264677558, 45714.23479488311, 34087.237308888114, 4631.862596495462, -1101.270449312979, 51402.396130847475, 35927.59054036028, 22121.588542650767, -7371.024176004431, 0.132, 1.016, 0.066, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488744465E9, 0.0, 2023-09-26 13:54:48.744
210.0, 74077.36916272274, 68785.16897978414, -19229.742196767595, -14310.749090999258, 32795.55234856038, 31721.2381030605, -187500.02235174447, 26329.997340440434, 45722.884919987315, 34092.489968835114, 4637.517587842654, -1096.4201207661774, 51413.437892608395, 35934.676043352614, 22126.28240898638, -7366.464420135549, 0.132, 1.016, 0.066, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488744474E9, 0.0, 2023-09-26 13:54:48.744
0.0, 37033.55485600887, 34394.350277704034, -9651.751476735053, -7177.078089365732, 16392.635273055468, 15894.079612979844, -93750.01117587223, 13172.352394146013, 22865.365191145564, 17035.247926145545, 2320.513405861069, -550.9257973344085, 25706.76364979311, 17962.17476870713, 11063.420601298882, -3683.7463001902465, 0.126, 1.018, 0.068, 192.0, 1.5, 120.0, 15.5, 104.0, 1.0, 16.0, 0.0, 0.0, 0.0, 1.695754488889599E9, 0.0, 2023-09-26 13:54:48.889
2.0, 74091.92014836313, 68800.77049741393, -19278.49135142462, -14348.344725173083, 32800.223863151536, 31805.571234890373, -187500.02235174447, 26362.005038500436, 45624.85016880634, 34197.11848463041, 4582.889924393884, -1034.1258089692365, 50068.28755954356, 35958.68181689761, 21920.087566386173, -7233.248023181918, 0.126, 1.018, 0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488889626E9, 0.0, 2023-09-26 13:54:48.889
4.0, 74095.83170364282, 68789.4381629751, -19277.06083977948, -14352.815074064145, 32796.82639799433, 31810.91330181519, -187500.02235174447, 26358.56286985432, 45629.16405548621, 34194.43627529577, 4581.839392404484, -1043.3794311737338, 50071.43915551176, 35965.990837334495, 21937.63368578359, -7228.57650859076, 0.126, 1.018, 0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488889636E9, 0.0, 2023-09-26 13:54:48.889
6.0, 74098.44685774409, 68789.95225309757, -19269.66241236477, -14347.07067573913, 32791.59608979179, 31818.557598418905, -187500.02235174447, 26359.45693963253, 45627.51002639652, 34207.221473124206, 4581.504116237655, -1034.4610851360662, 50073.7190334462, 35968.427177480124, 21950.463587100934, -7223.212089921486, 0.126, 1.018, 0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488889645E9, 0.0, 2023-09-26 13:54:48.889
8.0, 74096.56931120984, 68790.2875292644, -19262.442798905708, -14345.103722227064, 32792.02077293644, 31820.457496697607, -187500.02235174447, 26351.253849417433, 45634.729639855585, 34193.63161249538, 4581.347654026467, -1025.788608287407, 50078.25643757063, 35979.53599447441, 21963.807578540753, -7213.846708994712, 0.122, 1.018, 0.07, 192.0, 1.5, 104.0, 15.5, 104.0, 1.0, 24.0, 0.0, 0.0, 0.0, 1.695754488889654E9, 0.0, 2023-09-26 13:54:48.889
10.0, 74103.81127641335, 68791.15924729816, -19256.854862791883, -14348.434132150905, 32795.6417555382, 31823.676147899172, -187500.02235174447, 26358.339352409763, 45627.33121244088, 34195.397400307345, 4574.552723712054, -1029.141369955703, 50078.54701024855, 35977.032599095415, 21969.90960477705, -7216.171290418064, 0.122, 1.018, 0.07, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488889663E9, 0.0, 2023-09-26 13:54:48.889
12.0, 74106.739354937, 68787.71707865204, -19251.75866505607, -14344.276707682218, 32786.07520891133, 31819.362261219296, -187500.02235174447, 26354.092520963255, 45623.91139553922, 34204.33809808947, 4570.060023076538, -1036.0704107368483, 50082.10093761694, 35972.919878115645, 21972.77062806733, -7215.277220639851, 0.122, 1.018, 0.07, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488889672E9, 0.0, 2023-09-26 13:54:48.889
14.0, 74111.63438697271, 68792.88033162121, -19240.85101376188, -14340.320448913628, 32789.42797057962, 31820.077517041867, -187500.02235174447, 26352.818471529303, 45632.87444506579, 34203.33226958898, 4582.28642729359, -1030.01308798946, 50092.0251121551, 35986.129759088726, 21985.578177640222, -7205.978894946444, 0.122, 1.018, 0.07, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695754488889681E9, 0.0, 2023-09-26 13:54:48.889
