%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 21391.93819665172, -187500.02235174447, -17887.654052693135, -19451.404446530873, -21543.371265336427, -20452.56143242853, -187500.02235174447, -20169.498940646525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758982299347E9, 0.0, 2023-09-26 15:09:42.299
194.0, 21289.20957913513, -187500.02235174447, -17902.07092786681, -19466.357763571476, -21560.827977756024, -20445.364170713925, -187500.02235174447, -20171.935280792153, -12334.474901494374, -14940.107159627338, 7078.372785851096, -40617.45591371726, -22784.831855873093, -29609.311176456355, 16021.037521485989, 7125.423207929517, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758982299366E9, 0.0, 2023-09-26 15:09:42.299
196.0, 21342.451434427672, -187500.02235174447, -17888.749288171446, -19455.919498910847, -21543.21480312524, -20448.940449826772, -187500.02235174447, -20164.916833033185, -12322.069683321677, -14945.225709107604, 7016.950192087912, -40692.222498920266, -22777.187559269376, -29601.823342063828, 15974.903520930235, 7110.73811182238, 0.036000000000000004, 0.486, -0.135, 192.0, 1.0, 32.0, 15.0, 48.0, 123.5, 72.0, 0.0, 0.0, 0.0, 1.695758982299377E9, 0.0, 2023-09-26 15:09:42.299
198.0, 21274.92681442819, -187500.02235174447, -17901.53448599988, -19468.95056592829, -21566.348858636484, -20444.872432335906, -187500.02235174447, -20172.158798236705, -12334.206680560908, -14962.593014549377, 7076.316425361208, -40640.411155272865, -22786.575291940608, -29610.00408053447, 16020.098748218865, 7126.965478296934, 0.036000000000000004, 0.486, -0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758982299387E9, 0.0, 2023-09-26 15:09:42.299
200.0, 21316.45635562615, -187500.02235174447, -17887.810514904322, -19458.17702510083, -21544.175928136818, -20451.645010905864, -187500.02235174447, -20167.241414456537, -12324.349561256118, -14963.308270371946, 7006.534279171739, -40723.62669987997, -22775.26530924622, -29599.230539707012, 15964.979346392078, 7111.810995556235, 0.036000000000000004, 0.486, -0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758982299397E9, 0.0, 2023-09-26 15:09:42.299
202.0, 21249.557584471415, -187500.02235174447, -17895.611273719227, -19465.150769370888, -21563.398428368382, -20435.70821710923, -187500.02235174447, -20161.295850431427, -12330.608049703606, -14976.764020534041, 7073.54480904875, -40660.37126307145, -22780.383858726487, -29605.109048498758, 16016.164841194732, 7128.954783553456, 0.036000000000000004, 0.486, -0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758982299406E9, 0.0, 2023-09-26 15:09:42.299
204.0, 21286.68383201168, -187500.02235174447, -17883.407221246627, -19451.38209478642, -21540.68905600179, -20449.119263782413, -187500.02235174447, -20156.512577117992, -12324.10369206711, -14987.604616594866, 6990.843354564114, -40752.1698775494, -22771.51021617773, -29602.136266486203, 15953.579956719872, 7112.325085678707, 0.036000000000000004, 0.486, -0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758982299446E9, 0.0, 2023-09-26 15:09:42.299
206.0, 21252.910346139714, -187500.02235174447, -17902.227390077995, -19472.638603763415, -21572.875568017433, -20450.817996361016, -187500.02235174447, -20169.52129239098, -12333.402017760518, -14999.383985922812, 7087.916980733512, -40660.93005668283, -22785.234187273287, -29612.35101370228, 16035.186175726198, 7142.276423248819, 0.055, 0.732, -0.2025, 192.0, 1.0, 40.0, 15.0, 72.0, 123.5, 72.0, 0.0, 0.0, 0.0, 1.695758982299455E9, 0.0, 2023-09-26 15:09:42.299
208.0, 21255.659610707717, -187500.02235174447, -17879.652128178135, -19453.729027954225, -21548.623925283424, -20450.95210682775, -187500.02235174447, -20159.75358006401, -12329.62457294757, -15010.135175005815, 6993.771433087759, -40760.14945031994, -22776.204082513344, -29600.348126929777, 15960.710163201114, 7111.721588578414, 0.055, 0.732, -0.2025, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758982299466E9, 0.0, 2023-09-26 15:09:42.299
0.0, 11611.798299765385, -93750.01117587223, -8920.000066757211, -9666.838904242386, -10768.690498911203, -10175.765773745272, -93750.01117587223, -10023.326876560079, -6169.908484209595, -7508.599163126846, 3546.4171822568396, -20331.638494925322, -11394.427584937524, -14805.303788817382, 8020.118834986549, 3571.920522680345, 0.07200000000000001, 0.976, -0.272, 192.0, 1.0, 32.0, 15.0, 64.0, 123.5, 64.0, 0.0, 0.0, 0.0, 1.695758982441386E9, 0.0, 2023-09-26 15:09:42.441
