%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 13955.915147771258, 36218.05145955699, -42657.94666504225, -44434.44096260559, -23812.90034209494, -25297.14558090515, -187500.02235174447, 14258.691878162846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761032595193E9, 0.0, 2023-09-26 15:43:52.595
224.0, 13949.924880257235, 36206.02622104004, -42665.54625815705, -44436.94435798459, -23821.259894521227, -25305.549836820348, -187500.02235174447, 14239.67054363138, -12470.865246160656, -33102.307689465015, -44515.66720195618, -40009.332002321724, -20267.109008682848, -24219.545628970343, -46528.01710701193, -31783.73358055754, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761032595366E9, 0.0, 2023-09-26 15:43:52.595
226.0, 13961.614842607361, 36218.4984944461, -42652.0681562505, -44434.21744516104, -23811.134554282973, -25295.223330881996, -187500.02235174447, 14248.991221069244, -12478.934225909023, -33093.07641900497, -44514.12493158876, -40006.895662176095, -20269.970031973127, -24217.019881846893, -46518.49526387397, -31778.9503072441, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761032595377E9, 0.0, 2023-09-26 15:43:52.595
228.0, 13963.894720541803, 36217.02327931205, -42655.197400474244, -44430.50705558146, -23808.38528971497, -25294.351612848237, -187500.02235174447, 14241.0116482987, -12442.255013257864, -33084.828625300965, -44499.93157385964, -39999.09490336119, -20264.762075515042, -24215.254094034924, -46513.08614171579, -31774.90464149769, -0.01, 1.012, -0.034, 192.0, 127.5, 88.0, 15.5, 80.0, 127.0, 120.0, 0.0, 0.0, 0.0, 1.695761032595386E9, 0.0, 2023-09-26 15:43:52.595
230.0, 13956.943328016201, 36219.03493631303, -42658.05842376452, -44431.9375672266, -23809.547580426646, -25293.47989481448, -187500.02235174447, 14242.375104710472, -12459.912891377557, -33080.894718276824, -44508.04525709692, -40003.22997608542, -20258.458883578645, -24210.873152121683, -46515.74599930597, -31770.99308621801, -0.01, 1.012, -0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761032595396E9, 0.0, 2023-09-26 15:43:52.595
232.0, 13957.211548949666, 36216.53154093403, -42650.32472018299, -44432.25049164897, -23804.67490013539, -25289.411877323615, -187500.02235174447, 14240.810482598601, -12463.46681874595, -33082.41463689979, -44510.81687340938, -40001.41948478454, -20253.072113164915, -24205.665195663598, -46510.09100795878, -31768.936725728123, -0.01, 1.012, -0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761032595405E9, 0.0, 2023-09-26 15:43:52.595
234.0, 13950.886005268814, 36214.4975321886, -42656.739670841656, -44438.866608007746, -23812.363900228014, -25292.272900613894, -187500.02235174447, 14243.425636699872, -12459.331746021719, -33081.341753165936, -44508.6040507083, -40006.53803426481, -20251.708656753144, -24213.354195756223, -46507.744074790964, -31769.51787108396, -0.01, 1.012, -0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761032595414E9, 0.0, 2023-09-26 15:43:52.595
236.0, 13957.457418138674, 36217.15738977878, -42653.20809521772, -44427.17664565762, -23801.70211812283, -25285.366211577206, -187500.02235174447, 14247.650116401926, -12463.80209491278, -33084.761570067596, -44509.69928618662, -40002.4923685184, -20247.931211940195, -24221.64669294914, -46512.12501670421, -31770.14371992871, -0.01, 1.012, -0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761032595423E9, 0.0, 2023-09-26 15:43:52.595
238.0, 13947.555595344973, 36207.814360596465, -42655.622083618895, -44429.009488702955, -23806.194818758348, -25285.790894721857, -187500.02235174447, 14205.450022870305, -12455.241376786396, -33094.84220681694, -44510.727466431556, -40008.572043010245, -20238.63288624679, -24216.952826613528, -46507.49820560196, -31764.131100670234, -0.01, 1.006, -0.036000000000000004, 192.0, 127.5, 88.0, 15.5, 56.0, 127.0, 112.0, 0.0, 0.0, 0.0, 1.695761032595431E9, 0.0, 2023-09-26 15:43:52.595
0.0, 7001.90746806949, 18034.840289931333, -21316.590466092883, -22182.85467420276, -11872.978433725648, -12619.88432644419, -93750.01117587223, 7265.501590430927, -6230.325249472291, -16543.844824295622, -22254.69318088212, -20002.57611305429, -10122.769787641739, -12109.102262151511, -23258.33121041432, -15886.345909398307, -0.004, 1.01, -0.02, 192.0, 127.5, 112.0, 15.5, 72.0, 127.5, 48.0, 0.0, 0.0, 0.0, 1.695761032733024E9, 0.0, 2023-09-26 15:43:52.733
