%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -37786.629830197075, -13378.077850112659, -86933.8690559708, -81144.2978554127, -21872.858330352108, -54914.6598475766, -157223.33278934154, -72081.49249333054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812248295E9, 0.0, 2023-09-22 15:50:12.248
254.0, -37777.28680101476, -13370.299443042213, -86932.23737862556, -81151.6515793385, -21869.013830305797, -54921.99121975795, -157140.3854656679, -72087.6168713113, -7217.154767174097, -187500.02235174447, -85607.58359522624, -79089.05495274723, -56154.198188090115, -52286.22881009922, -83090.91128002541, -84082.25585010718, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812248304E9, 0.0, 2023-09-22 15:50:12.248
0.0, -37735.891370283534, -13335.07309378065, -86875.12867154225, -81102.00835490327, -21817.04602444721, -54874.27024534586, -157227.9148969549, -72043.96391439009, -7106.044245486766, -187500.02235174447, -85588.91988860606, -79076.42621712998, -56155.76281020198, -52286.9887694107, -83076.47205310727, -84074.20922210327, -0.028, 0.932, 0.392, 192.0, 127.5, 16.0, 14.5, 16.0, 6.0, 32.0, 0.0, 0.0, 0.0, 1.695415812248308E9, 0.0, 2023-09-22 15:50:12.248
2.0, -37746.82137332218, -13344.460826451877, -86892.92066012867, -81119.71093651187, -21836.961428756887, -54887.83775423023, -157138.17264296685, -72051.54115576042, -7165.455182248972, -187500.02235174447, -85555.41462366756, -79048.62064702758, -56118.122472539246, -52260.792524909084, -83039.1446398669, -84039.11698330844, -0.028, 0.932, 0.392, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812248311E9, 0.0, 2023-09-22 15:50:12.248
4.0, -37706.07414318015, -13296.516334595244, -86848.23952296253, -81070.69356092138, -21796.393012570505, -54841.59199495221, -157249.12670244297, -72002.00969004747, -7050.030773881766, -187500.02235174447, -85553.11239398866, -79039.12115563407, -56115.70848413807, -52246.95679509125, -83038.20586659979, -84034.04313731709, -0.028, 0.932, 0.392, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812248315E9, 0.0, 2023-09-22 15:50:12.248
6.0, -37736.42781215046, -13327.473500665845, -86887.33272401485, -81107.75275322828, -21830.680588564945, -54873.175009867555, -157158.46802693224, -72041.21464982208, -7150.434809975006, -187500.02235174447, -85541.75770780537, -79016.45648675639, -56104.130280510224, -52241.34650723297, -83019.4974564907, -84014.03832602958, -0.028, 0.932, 0.392, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812248318E9, 0.0, 2023-09-22 15:50:12.248
8.0, -37728.671756824464, -13317.63873310551, -86876.11214829829, -81102.88007293703, -21819.63882680402, -54870.872780188656, -157275.30059520015, -72039.62767596575, -7070.862599714113, -187500.02235174447, -85562.43307142652, -79026.8053444392, -56129.45480697809, -52263.184161565805, -83044.01732015816, -84038.58054144151, -0.028, 0.932, 0.392, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812248321E9, 0.0, 2023-09-22 15:50:12.248
10.0, -37739.53470462975, -13335.318962969657, -86888.04797983741, -81106.67986949443, -21828.020730974764, -54882.78625998334, -157182.96553885526, -72035.76082417498, -7170.305510795773, -187500.02235174447, -85559.23677196942, -79020.81507692517, -56119.91061209567, -52264.34645227748, -83036.88711367693, -84034.31135825055, -0.03, 0.93, 0.396, 192.0, 127.5, 8.0, 14.5, 8.0, 6.0, 48.0, 0.0, 0.0, 0.0, 1.695415812248324E9, 0.0, 2023-09-22 15:50:12.248
12.0, -37741.59106511963, -13332.480291423833, -86886.14808155871, -81109.4961892958, -21833.742777555322, -54873.57734126775, -157289.15867676242, -72039.001827121, -7079.222152140397, -187500.02235174447, -85572.75957736488, -79033.64497824252, -56131.73468491253, -52274.382385537916, -83043.19030561332, -84042.51444846565, -0.03, 0.93, 0.396, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812248327E9, 0.0, 2023-09-22 15:50:12.248
0.0, -19095.78819224694, -7112.414492656529, -43655.16974391577, -40743.25153151173, -12190.574370691105, -27732.949284666694, -78303.34643165427, -36375.07246435553, -3595.389854358418, -93750.01117587223, -42802.204823756794, -39532.65870006785, -28082.46351271433, -26150.065797575215, -41534.615043951875, -42033.86360810562, -0.028999999999999998, 0.929, 0.389, 192.0, 127.5, 16.0, 14.5, 0.0, 5.5, 120.0, 0.0, 0.0, 0.0, 1.695415812393855E9, 0.0, 2023-09-22 15:50:12.393
2.0, -38196.80669269642, -14222.81732831208, -87284.99260961922, -81456.26115277543, -24364.92137490766, -55447.21251096875, -156646.81424460583, -72729.1119371786, -4052.4383249805364, -187500.02235174447, -85904.66063078173, -79474.0637509899, -57949.78087541829, -55630.38505677999, -83391.40813248255, -84423.00819432834, -0.028999999999999998, 0.929, 0.389, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812393883E9, 0.0, 2023-09-22 15:50:12.393
4.0, -38206.28383234547, -14230.327514449064, -87295.60968823549, -81477.04827511887, -24370.44225578812, -55463.32811872102, -156544.1526823226, -72747.55212635423, -4115.514947833413, -187500.02235174447, -85896.83752022237, -79461.21149792809, -57939.76729390232, -55627.79225442318, -83370.86687932812, -84407.42902844299, -0.028999999999999998, 0.929, 0.389, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812393887E9, 0.0, 2023-09-22 15:50:12.393
6.0, -38163.4578899691, -14186.272226127652, -87238.00924277416, -81434.64701588715, -24324.218848254546, -55411.53912681808, -156645.13786377167, -72687.31417504718, -4006.773711058344, -187500.02235174447, -85901.66549702472, -79463.29021016243, -57944.215291048924, -55638.07405687262, -83383.56267017874, -84424.50576120685, -0.028999999999999998, 0.929, 0.389, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541581239389E9, 0.0, 2023-09-22 15:50:12.393
8.0, -38188.53654724795, -14220.313932933084, -87267.49119371071, -81463.79369065686, -24344.715397920063, -55436.79659805258, -156544.8008829118, -72717.01964342828, -4087.5305637753686, -187500.02235174447, -85856.40321450273, -79426.05220389989, -57887.531267110266, -55597.75150987524, -83337.20515217843, -84382.97622000889, -0.026000000000000002, 0.926, 0.374, 192.0, 127.5, 24.0, 14.0, 120.0, 5.5, 88.0, 0.0, 0.0, 0.0, 1.695415812393893E9, 0.0, 2023-09-22 15:50:12.393
10.0, -38149.465697940075, -14180.460772569273, -87232.26484444915, -81418.57611162378, -24318.027415040426, -55399.804460979045, -156649.00471556245, -72683.80495116771, -3973.514315308847, -187500.02235174447, -85866.10387159632, -79446.21347739857, -57910.57591564368, -55612.458957726834, -83355.24300995386, -84399.56121439472, -0.026000000000000002, 0.926, 0.374, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812393897E9, 0.0, 2023-09-22 15:50:12.393
12.0, -38152.751404375005, -14182.897112714902, -87240.4455829198, -81420.23014071348, -24310.29371145889, -55403.69366451427, -156566.92910992255, -72687.20241632492, -4084.222505595983, -187500.02235174447, -85834.52085668097, -79409.8918926587, -57893.521534624284, -55582.395861434445, -83317.8708932246, -84363.28433314376, -0.026000000000000002, 0.926, 0.374, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6954158123939E9, 0.0, 2023-09-22 15:50:12.393
14.0, -38152.28201774145, -14166.736801473715, -87235.52819913962, -81414.0163557549, -24313.71352836055, -55395.51292604362, -156678.6431287102, -72685.48133200184, -4008.092463981207, -187500.02235174447, -85846.47903996457, -79415.70334621708, -57890.57110435619, -55591.78359410568, -83326.34220437316, -84368.44758611293, -0.026000000000000002, 0.926, 0.374, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812393903E9, 0.0, 2023-09-22 15:50:12.393
16.0, -38213.70461150463, -14232.920316805878, -87289.5523654881, -81474.56723148433, -24366.21777608607, -55459.68478437481, -156559.68714471904, -72741.2265826734, -4100.583982537268, -187500.02235174447, -85868.62961871977, -79444.11241341977, -57914.24160173436, -55602.55713493314, -83352.98548376387, -84393.3697811806, -0.026000000000000002, 0.926, 0.374, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695415812454144E9, 0.0, 2023-09-22 15:50:12.454
