%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
222.0, 21581.70450707728, 33342.20896270382, -52696.65154178757, -55833.09302724517, -37144.30774978492, -20758.802683210695, -187500.02235174447, -37783.61234469561, -9676.897189247275, 17257.55837649803, -50735.42007630111, -46916.08809424497, -21665.680010995868, -53053.586548994375, -53085.393081354276, -42748.20300915278, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800274286E9, 0.0, 2023-09-22 16:56:40.274
224.0, 21634.678141436358, 33396.613108708036, -52694.036387686305, -55835.14938773506, -37127.96862458809, -20757.48393028783, -187500.02235174447, -37783.32177201769, -9673.790296767986, 17291.37656585891, -50730.61445124322, -46912.35535292094, -21652.894813167433, -53052.62542398279, -53075.960645194136, -42746.16900040734, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800274295E9, 0.0, 2023-09-22 16:56:40.274
226.0, 21583.60440535598, 33341.15843071442, -52697.36679761014, -55832.266012700326, -37137.7139851706, -20754.57820350864, -187500.02235174447, -37779.87960337158, -9656.91472970423, 17280.513618053632, -50705.35698000872, -46891.79174802205, -21637.00272285971, -53030.094865571846, -53057.02871764049, -42722.856130940454, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800274299E9, 0.0, 2023-09-22 16:56:40.274
228.0, 21625.536277954136, 33386.73363765879, -52725.73116132393, -55862.329108992715, -37156.98118889108, -20789.044593458726, -187500.02235174447, -37813.36251656563, -9701.4394046592, 17273.584577272486, -50748.8311229743, -46930.326155463, -21683.851979238032, -53077.65937777274, -53096.278380904005, -42767.26904717315, -0.004, 0.988, 0.212, 192.0, 127.5, 112.0, 15.0, 112.0, 3.0, 80.0, 0.0, 0.0, 0.0, 1.695419800274302E9, 0.0, 2023-09-22 16:56:40.274
230.0, 21586.845408302, 33346.701663339336, -52694.70694001996, -55816.50803285933, -37142.65372069523, -20744.654028970486, -187500.02235174447, -37776.52684170328, -9679.266474159536, 17265.292080079565, -50720.287945304866, -46905.29220167306, -21654.794711446135, -53049.026793125486, -53079.91690396272, -42739.642291026394, -0.004, 0.988, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800274306E9, 0.0, 2023-09-22 16:56:40.274
232.0, 21636.08630133704, 33392.0310010947, -52707.67095180404, -55845.6323558846, -37137.736336915055, -20773.957165951393, -187500.02235174447, -37795.48112100138, -9670.236369399592, 17300.227856663212, -50715.05763710233, -46897.2679254136, -21651.173728844373, -53042.63419421127, -53069.4786393021, -42733.629671767914, -0.004, 0.988, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800274309E9, 0.0, 2023-09-22 16:56:40.274
234.0, 21583.73851582271, 33334.87759052248, -52707.06745470375, -55828.89089928757, -37153.85194466734, -20755.941659920416, -187500.02235174447, -37785.28872552976, -9686.128459707315, 17260.687620721772, -50733.43077104459, -46919.32909719099, -21671.67027850989, -53057.96749090761, -53089.282284889494, -42751.48871558771, -0.004, 0.988, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800274312E9, 0.0, 2023-09-22 16:56:40.274
236.0, 21625.6033331875, 33376.36242823153, -52707.872117504136, -55848.403972197055, -37136.30582526992, -20775.834712485637, -187500.02235174447, -37794.3188302897, -9682.418070127735, 17283.866379721927, -50731.329707065786, -46915.551652378046, -21658.393342303436, -53052.78188619398, -53079.40281384025, -42747.21953239674, -0.004, 0.988, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800274316E9, 0.0, 2023-09-22 16:56:40.274
238.0, 21578.105876219975, 33326.02629971818, -52722.0431234888, -55846.77229485182, -37169.766386719515, -20777.555796808698, -187500.02235174447, -37801.471388515405, -9693.459831888656, 17261.827559688994, -50745.25484386145, -46929.454437429245, -21672.05025816563, -53063.13074387679, -53094.71375879214, -42757.41192786836, -0.004, 0.988, 0.216, 192.0, 127.5, 112.0, 15.0, 112.0, 3.0, 96.0, 0.0, 0.0, 0.0, 1.695419800274319E9, 0.0, 2023-09-22 16:56:40.274
0.0, 10837.131540433353, 16660.87855826361, -26299.688374959038, -27853.0228558806, -18626.78153834123, -10388.755546659893, -93750.01117587223, -18729.08547271317, -4842.90776764247, 8627.840414981893, -25370.07932306282, -23462.7379134581, -10833.66702004278, -26529.464307959595, -26544.685845933658, -21376.984879611122, -0.005, 0.994, 0.21100000000000002, 192.0, 127.5, 104.0, 15.5, 32.0, 3.0, 56.0, 0.0, 0.0, 0.0, 1.695419800416315E9, 0.0, 2023-09-22 16:56:40.416
2.0, 21638.0085513602, 33286.03902888764, -52582.098851454124, -55666.17019965294, -37257.80990812897, -20735.132185832525, -187500.02235174447, -37426.02913689961, -9682.328663149914, 17498.26431253723, -50674.757441849404, -46938.462190444734, -21633.71701642478, -52947.035783175925, -52995.38260643275, -42686.668656667316, -0.005, 0.994, 0.21100000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541980041633E9, 0.0, 2023-09-22 16:56:40.416
4.0, 21654.258269579204, 33297.974860426766, -52586.52449685628, -55689.95245575339, -37237.000434041074, -20755.874604687047, -187500.02235174447, -37434.45574455926, -9658.278186116004, 17518.00090289127, -50653.098601472215, -46914.88110004438, -21618.94251333982, -52921.33127705232, -52968.67227180866, -42661.54529589955, -0.005, 0.994, 0.21100000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800416333E9, 0.0, 2023-09-22 16:56:40.416
6.0, 21646.725731697767, 33295.806741214605, -52579.4613456084, -55664.98555719681, -37252.64665515979, -20732.807604409172, -187500.02235174447, -37421.35762230845, -9680.182895682205, 17498.55488521515, -50675.45034592752, -46938.23867300018, -21642.858879907, -52945.29234710841, -52990.55462963041, -42685.66282816682, -0.005, 0.994, 0.21100000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800416337E9, 0.0, 2023-09-22 16:56:40.416
8.0, 21652.403074789414, 33300.54531103913, -52577.85202000762, -55684.92331325094, -37240.21908524264, -20755.181700608933, -187500.02235174447, -37432.622901513925, -9659.507532061045, 17514.491679011786, -50648.36003164769, -46911.483634887176, -21608.772469612657, -52919.23021307352, -52964.89482699571, -42657.72314759769, -0.008, 0.998, 0.212, 192.0, 127.5, 96.0, 15.5, 24.0, 3.0, 80.0, 0.0, 0.0, 0.0, 1.69541980041634E9, 0.0, 2023-09-22 16:56:40.416
10.0, 21649.206775332306, 33302.75813374021, -52577.33792988514, -55672.227522400324, -37263.10727156488, -20748.520880761254, -187500.02235174447, -37434.03106141461, -9684.407375384257, 17500.052452093656, -50674.3104069603, -46937.88104508889, -21635.728673425758, -52947.19224538711, -52991.94043778664, -42683.360598487925, -0.008, 0.998, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800416343E9, 0.0, 2023-09-22 16:56:40.416
12.0, 21634.432272247348, 33287.000153899215, -52575.28156939526, -55684.23040917283, -37243.90712307777, -20759.652049499997, -187500.02235174447, -37431.97470092472, -9670.638700799787, 17495.872675880513, -50659.379441664154, -46923.799446082056, -21621.602370930003, -52930.674306234636, -52977.32239691287, -42667.91554306931, -0.008, 0.998, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800416347E9, 0.0, 2023-09-22 16:56:40.416
14.0, 21646.94924914232, 33305.08271516356, -52585.65277882252, -55684.69979580639, -37264.64954193229, -20757.86390994357, -187500.02235174447, -37436.7356224937, -9693.884515033307, 17501.728832927805, -50687.140308277645, -46948.29695800507, -21646.032827619652, -52953.16016115668, -52997.863650067295, -42690.66961892481, -0.008, 0.998, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541980041635E9, 0.0, 2023-09-22 16:56:40.416
16.0, 21626.385644243437, 33279.33350555104, -52577.82966826316, -55689.72893830883, -37249.07037604694, -20761.864872201073, -187500.02235174447, -37433.382860825404, -9673.119744434327, 17493.74926015726, -50664.900322544614, -46928.24744322866, -21622.675254663856, -52932.86477719126, -52980.29517892542, -42671.51417392662, -0.008, 0.998, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800476562E9, 0.0, 2023-09-22 16:56:40.476
18.0, 21657.09694112503, 33313.554026312115, -52578.611979319096, -55680.274150404235, -37256.446451717195, -20750.554889506686, -187500.02235174447, -37430.946520679776, -9694.376253411325, 17502.9805306173, -50684.636912898655, -46946.62057717092, -21656.158167857906, -52954.25539663499, -52997.10369075581, -42694.04473233756, -0.01, 1.0, 0.21, 192.0, 127.5, 88.0, 15.5, 32.0, 3.0, 72.0, 0.0, 0.0, 0.0, 1.695419800476577E9, 0.0, 2023-09-22 16:56:40.476
20.0, 21627.14560355492, 33281.546328252116, -52567.8607902361, -55678.35190038108, -37242.5883701549, -20747.246831327302, -187500.02235174447, -37421.93876766429, -9664.62608154131, 17503.159344572945, -50652.13747646064, -46917.13862623437, -21626.29623726562, -52919.52078575144, -52969.96867298707, -42659.533638898574, -0.01, 1.0, 0.21, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541980047658E9, 0.0, 2023-09-22 16:56:40.476
22.0, 21665.411790062404, 33324.6628433064, -52573.02404320527, -55677.86016200306, -37251.79728887049, -20750.10785461758, -187500.02235174447, -37429.09132588999, -9683.15567769476, 17515.31869355663, -50671.762308092395, -46936.00349855465, -21631.303028023605, -52943.37009708525, -52986.35250167281, -42678.35380772994, -0.01, 1.0, 0.21, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800476583E9, 0.0, 2023-09-22 16:56:40.476
24.0, 21618.22725751725, 33276.383075282945, -52572.44289784943, -55677.770755025245, -37252.31137899296, -20753.237098841324, -187500.02235174447, -37427.32553807802, -9666.347165864368, 17501.460611994342, -50652.09277297172, -46917.76447507912, -21624.441042475824, -52923.38763754221, -52972.53912359943, -42657.566685386504, -0.01, 1.0, 0.21, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419800476587E9, 0.0, 2023-09-22 16:56:40.476
26.0, 21655.107635868506, 33319.07490719258, -52599.734377829365, -55705.64338036101, -37276.585373471426, -20779.723916020863, -187500.02235174447, -37456.82984075902, -9705.395663427791, 17494.75508865775, -50697.019779326896, -46957.19295229828, -21658.505101025716, -52967.800553774905, -53008.50308042802, -42700.772607418614, -0.01, 1.0, 0.21, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541980047659E9, 0.0, 2023-09-22 16:56:40.476
28.0, 21608.16897251236, 33269.69990369081, -52582.56823808769, -55687.09143246311, -37264.58248669893, -20760.009677411283, -187500.02235174447, -37435.55098003757, -9685.457907373657, 17480.382916972987, -50671.136459247646, -46937.702231133255, -21642.6577142069, -52942.341916840305, -52991.001664519514, -42676.18568851778, -0.004, 0.998, 0.20400000000000001, 192.0, 127.5, 112.0, 15.5, 24.0, 3.0, 48.0, 0.0, 0.0, 0.0, 1.695419800476593E9, 0.0, 2023-09-22 16:56:40.476
